Designator,Mid X,Mid Y,Rotation,Layer
D1,111.1875,-57.42,90.0,bottom
D10,120.7125,-114.57,90.0,bottom
D11,149.2875,-114.57,90.0,bottom
D2,130.2375,-57.42,90.0,bottom
D3,149.2875,-57.42,90.0,bottom
D4,111.1875,-76.47,90.0,bottom
D5,130.2375,-76.47,90.0,bottom
D6,149.2875,-76.47,90.0,bottom
D7,111.1875,-95.52,90.0,bottom
D8,130.2375,-95.52,90.0,bottom
D9,149.2875,-95.52,90.0,bottom
J1,164.0,-35.0,0.0,top
J2,181.78,-35.0,0.0,top
J3,164.0,-96.6,0.0,top
J4,181.78,-96.6,0.0,top
SW1,106.1075,-54.39,0.0,top
SW10,115.6325,-111.54,0.0,top
SW11,144.2075,-111.54,0.0,top
SW2,125.1575,-54.39,0.0,top
SW3,144.2075,-54.39,0.0,top
SW4,106.1075,-73.44,0.0,top
SW5,125.1575,-73.44,0.0,top
SW6,144.2075,-73.44,0.0,top
SW7,106.1075,-92.49,0.0,top
SW8,125.1575,-92.49,0.0,top
SW9,144.2075,-92.49,0.0,top
